function_family_maximum_depth;function_family_beta;function_family_decision_sparsity;function_family_fully_grown;function_family_dt_type;function_family_basic_function_representation_length;function_family_function_representation_length;data_number_of_variables;data_num_classes;data_categorical_indices;data_use_distribution_list;data_random_parameters_distribution;data_max_distributions_per_class;data_exclude_linearly_seperable;data_data_generation_filtering;data_fixed_class_probability;data_weighted_data_generation;data_shift_distrib;data_dt_type_train;data_maximum_depth_train;data_decision_sparsity_train;data_function_generation_type;data_distribution_list;data_distribution_list_eval;data_objective;data_x_max;data_x_min;data_x_distrib;data_lambda_dataset_size;data_number_of_generated_datasets;data_noise_injected_level;data_noise_injected_type;data_data_noise;data_distrib_param_max;lambda_net_epochs_lambda;lambda_net_early_stopping_lambda;lambda_net_early_stopping_min_delta_lambda;lambda_net_batch_lambda;lambda_net_dropout_lambda;lambda_net_lambda_network_layers;lambda_net_use_batchnorm_lambda;lambda_net_optimizer_lambda;lambda_net_loss_lambda;lambda_net_number_of_lambda_weights;lambda_net_number_initializations_lambda;lambda_net_number_of_trained_lambda_nets;i_net_dense_layers;i_net_dropout;i_net_hidden_activation;i_net_optimizer;i_net_learning_rate;i_net_separate_weight_bias;i_net_convolution_layers;i_net_lstm_layers;i_net_additional_hidden;i_net_loss;i_net_metrics;i_net_epochs;i_net_early_stopping;i_net_batch_size;i_net_interpretation_dataset_size;i_net_test_size;i_net_evaluate_distribution;i_net_force_evaluate_real_world;i_net_function_representation_type;i_net_normalize_lambda_nets;i_net_optimize_decision_function;i_net_function_value_loss;i_net_data_reshape_version;i_net_nas;i_net_nas_type;i_net_nas_trials;i_net_nas_optimizer;evaluation_number_of_random_evaluations_per_distribution;evaluation_random_evaluation_dataset_size;evaluation_random_evaluation_dataset_distribution;evaluation_per_network_optimization_dataset_size;evaluation_different_eval_data;evaluation_eval_data_description_eval_data_function_generation_type;evaluation_eval_data_description_eval_data_lambda_dataset_size;evaluation_eval_data_description_eval_data_noise_injected_level;evaluation_eval_data_description_eval_data_noise_injected_type;evaluation_eval_data_description_eval_data_number_of_trained_lambda_nets;evaluation_eval_data_description_eval_data_interpretation_dataset_size;computation_load_model;computation_n_jobs;computation_use_gpu;computation_gpu_numbers;computation_RANDOM_SEED;computation_verbosity;deep_dense_layer_block_1/num_layers;deep_dense_layer_block_1/num_units_0;deep_dense_layer_block_1/dropout_0;deep_dense_layer_block_1/activation_0;deep_dense_layer_block_1/num_units_1;deep_dense_layer_block_1/dropout_1;deep_dense_layer_block_1/activation_1;deep_dense_layer_block_1/num_units_2;deep_dense_layer_block_1/dropout_2;deep_dense_layer_block_1/activation_2;deep_dense_layer_block_1/num_units_3;deep_dense_layer_block_1/dropout_3;deep_dense_layer_block_1/activation_3;deep_dense_layer_block_1/num_units_4;deep_dense_layer_block_1/dropout_4;deep_dense_layer_block_1/activation_4;optimizer;learning_rate;score
3;1;1;True;vanilla;22;218;15;2;[];True;True;1;True;False;True;False;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;2177;1;10000;[1792, 512, 512];[0, 0, 0.5];sigmoid;adam;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;10000;10;True;False;3;False;True;True;None;True;SEQUENTIAL;200;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;1;42;0;3;512;0.3;sigmoid;512;0.0;tanh;512;0.0;sigmoid;512;0.0;sigmoid;896;0.0;sigmoid;adam;0.001;0.5936394333839417
3;1;32;True;SDT;247;247;32;2;[];True;True;1;True;False;True;False;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;4353;1;10000;[1024, 1024, 256, 2048, 2048];[0, 0, 0, 0, 0.3];relu;rmsprop;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;10000;10;True;False;1;False;True;True;None;True;SEQUENTIAL;200;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;4;42;0;3;512;0.0;sigmoid;512;0.0;tanh;512;0.0;sigmoid;576;0.0;sigmoid;896;0.0;sigmoid;adam;0.001;0.004210603889077902
3;1;15;True;SDT;128;128;15;2;[];True;True;1;True;False;True;False;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;2177;1;10000;[1024, 1024, 256, 2048, 2048];[0, 0, 0, 0, 0.3];relu;rmsprop;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;10000;10;True;False;1;False;True;True;None;True;SEQUENTIAL;200;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;2;42;0;2;512;0.0;sigmoid;512;0.1;tanh;640;0.0;relu;256;0.3;relu;448;0.3;sigmoid;adam;0.001;0.018163902685046196
3;1;1;True;vanilla;22;456;32;2;[];True;True;1;True;False;True;False;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;4353;1;10000;[1792, 512, 512];[0, 0, 0.5];sigmoid;adam;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;10000;10;True;False;3;False;True;True;None;True;SEQUENTIAL;200;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;5;42;0;3;512;0.5;sigmoid;512;0.0;tanh;512;0.0;sigmoid;512;0.0;sigmoid;1344;0.0;tanh;adam;0.001;0.5894078612327576
3;1;1;True;vanilla;22;218;15;2;[];True;True;1;True;False;True;True;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;2177;1;10000;[1792, 512, 512];[0, 0, 0.5];sigmoid;adam;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;10000;10;True;False;3;False;True;True;None;True;SEQUENTIAL;100;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;1;42;0;2;1149;0.3;sigmoid;512;0.0;tanh;512;0.0;sigmoid;799;0.0;tanh;512;0.0;sigmoid;adam;0.001;0.6770012974739075
3;1;15;True;SDT;128;128;15;2;[];True;True;1;True;False;True;True;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;2177;1;10000;[1024, 1024, 256, 2048, 2048];[0, 0, 0, 0, 0.3];relu;rmsprop;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;10000;10;True;False;1;False;True;True;None;True;SEQUENTIAL;100;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;2;42;0;1;512;0.0;sigmoid;512;0.5;tanh;512;0.0;sigmoid;603;0.0;tanh;875;0.3;relu;adam;0.001;0.47200873494148254
3;1;1;True;vanilla;22;456;32;2;[];True;True;1;True;False;True;True;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;4353;1;10000;[1792, 512, 512];[0, 0, 0.5];sigmoid;adam;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;10000;10;True;False;3;False;True;True;None;True;SEQUENTIAL;100;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;5;42;0;3;853;0.0;sigmoid;512;0.0;tanh;799;0.0;sigmoid;1515;0.0;relu;1626;0.0;tanh;adam;2e-05;0.6888034343719482
3;1;32;True;SDT;247;247;32;2;[];True;True;1;True;False;True;True;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;4353;1;10000;[1024, 1024, 256, 2048, 2048];[0, 0, 0, 0, 0.3];relu;rmsprop;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;10000;10;True;False;1;False;True;True;None;True;SEQUENTIAL;100;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;4;42;0;2;1615;0.1;relu;512;0.1;tanh;512;0.0;sigmoid;799;0.0;relu;205;0.0;relu;adam;0.0001;0.5979742407798767
3;1;1;True;vanilla;22;456;32;2;[];True;True;1;True;False;False;False;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;4353;1;10000;[1792, 512, 512];[0, 0, 0.5];sigmoid;adam;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;10000;10;True;False;3;False;True;True;None;True;SEQUENTIAL;200;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;5;42;0;2;225;0.3;sigmoid;512;0.0;sigmoid;512;0.0;relu;354;0.0;relu;512;0.5;relu;adam;0.001;0.6476815938949585
3;1;1;True;vanilla;22;218;15;2;[];True;True;1;True;False;False;False;False;vanilla;3;1;distribution;['uniform', 'normal', 'gamma', 'beta', 'poisson'];['uniform', 'normal', 'gamma', 'beta', 'poisson'];classification;1;0;uniform;5000;10000;0;flip_percentage;0;5;1000;True;0.001;64;0;[128];False;adam;binary_crossentropy;2177;1;10000;[1792, 512, 512];[0, 0, 0.5];sigmoid;adam;0.001;False;None;None;False;binary_crossentropy;['binary_accuracy'];500;True;256;10000;10;True;False;3;False;True;True;None;True;SEQUENTIAL;200;greedy;1;500;uniform;5000;False;make_classification;5000;0;flip_percentage;100;100;False;10;False;1;42;0;3;1969;0.5;relu;512;0.0;tanh;512;0.3;relu;603;0.0;relu;512;0.0;relu;adam;0.001;0.625714898109436
