,index_0=aggregated,scoreOnClassfication_BaseModel,scoreOnClassfication_PredictedModel,tp,fn,fp,tn,precision,recall,f1
0,20,0.988,0.984,492,5,3,0,0.9939393939393939,0.9899396378269618,0.9919354838709677
1,20,1.0,0.972,486,14,0,0,1.0,0.972,0.9858012170385395
2,20,0.996,0.98,490,8,2,0,0.9959349593495935,0.9839357429718876,0.98989898989899
3,20,1.0,0.976,488,12,0,0,1.0,0.976,0.9878542510121457
4,20,0.996,0.984,492,6,2,0,0.9959514170040485,0.9879518072289156,0.9919354838709677
5,20,0.998,0.998,499,1,0,0,1.0,0.998,0.998998998998999
6,20,1.0,0.996,498,2,0,0,1.0,0.996,0.9979959919839679
7,20,0.992,0.994,497,0,3,0,0.994,1.0,0.9969909729187563
8,20,0.996,0.954,477,21,2,0,0.9958246346555324,0.9578313253012049,0.9764585465711362
9,20,1.0,0.956,478,22,0,0,1.0,0.956,0.9775051124744376
10,20,0.998,0.978,489,10,1,0,0.9979591836734694,0.9799599198396793,0.9888776541961577
11,20,1.0,0.998,499,1,0,0,1.0,0.998,0.998998998998999
12,20,0.99,0.974,487,9,4,0,0.9918533604887984,0.9818548387096774,0.9868287740628165
13,20,1.0,0.972,486,14,0,0,1.0,0.972,0.9858012170385395
14,20,1.0,0.98,490,10,0,0,1.0,0.98,0.98989898989899
15,20,0.994,0.986,493,4,3,0,0.9939516129032258,0.9919517102615694,0.9929506545820745
16,20,1.0,0.986,493,7,0,0,1.0,0.986,0.9929506545820745
17,20,0.994,0.968,484,13,3,0,0.9938398357289527,0.9738430583501007,0.983739837398374
18,20,0.99,0.97,485,10,5,0,0.9897959183673469,0.9797979797979798,0.9847715736040609
19,20,0.998,0.978,489,10,1,0,0.9979591836734694,0.9799599198396793,0.9888776541961577
20,20,0.998,0.978,489,10,1,0,0.9979591836734694,0.9799599198396793,0.9888776541961577
21,20,1.0,0.994,497,3,0,0,1.0,0.994,0.9969909729187563
22,20,0.994,0.992,496,1,3,0,0.9939879759519038,0.9979879275653923,0.995983935742972
23,20,1.0,0.97,485,15,0,0,1.0,0.97,0.9847715736040609
24,20,1.0,0.998,499,1,0,0,1.0,0.998,0.998998998998999
25,20,1.0,0.982,491,9,0,0,1.0,0.982,0.9909182643794148
26,20,0.99,0.988,494,2,4,0,0.9919678714859438,0.9959677419354839,0.993963782696177
27,20,0.998,0.986,493,6,1,0,0.9979757085020243,0.9879759519038076,0.9929506545820747
28,20,0.996,0.964,482,16,2,0,0.9958677685950413,0.9678714859437751,0.9816700610997963
29,20,0.992,0.992,496,2,2,0,0.9959839357429718,0.9959839357429718,0.9959839357429718
30,20,0.998,0.99,495,5,0,0,1.0,0.99,0.9949748743718593
31,20,0.994,0.968,484,12,4,0,0.9918032786885246,0.9758064516129032,0.983739837398374
32,20,0.996,0.96,480,19,1,0,0.997920997920998,0.9619238476953907,0.9795918367346939
33,20,0.998,0.996,498,1,1,0,0.9979959919839679,0.9979959919839679,0.9979959919839679
34,20,1.0,0.99,495,5,0,0,1.0,0.99,0.9949748743718593
35,20,1.0,0.998,499,1,0,0,1.0,0.998,0.998998998998999
36,20,1.0,0.988,494,6,0,0,1.0,0.988,0.993963782696177
37,20,1.0,0.976,488,12,0,0,1.0,0.976,0.9878542510121457
38,20,0.996,0.968,484,14,2,0,0.9958847736625515,0.9718875502008032,0.983739837398374
39,20,1.0,0.98,490,10,0,0,1.0,0.98,0.98989898989899
40,20,1.0,0.97,485,15,0,0,1.0,0.97,0.9847715736040609
41,20,1.0,0.992,496,4,0,0,1.0,0.992,0.9959839357429718
42,20,0.996,0.974,487,12,1,0,0.9979508196721312,0.9759519038076152,0.9868287740628165
43,20,0.988,0.978,489,7,4,0,0.9918864097363083,0.9858870967741935,0.9888776541961577
44,20,0.974,0.96,480,1,19,0,0.9619238476953907,0.997920997920998,0.9795918367346939
45,20,0.988,0.948,474,20,6,0,0.9875,0.9595141700404858,0.9733059548254619
46,20,1.0,0.994,497,3,0,0,1.0,0.994,0.9969909729187563
47,20,0.996,0.974,487,10,3,0,0.9938775510204082,0.9798792756539235,0.9868287740628167
48,20,0.998,0.966,483,16,1,0,0.9979338842975206,0.9679358717434869,0.9827060020345879
49,20,0.998,0.972,486,13,1,0,0.997946611909651,0.9739478957915831,0.9858012170385395
50,20,1.0,0.97,485,15,0,0,1.0,0.97,0.9847715736040609
51,20,0.992,0.982,491,5,4,0,0.9919191919191919,0.9899193548387096,0.9909182643794147
52,20,1.0,0.984,492,8,0,0,1.0,0.984,0.9919354838709677
53,20,0.988,0.96,480,15,5,0,0.9896907216494846,0.9696969696969697,0.9795918367346939
54,20,0.998,0.98,490,10,0,0,1.0,0.98,0.98989898989899
55,20,0.998,0.99,495,4,1,0,0.9979838709677419,0.9919839679358717,0.9949748743718592
56,20,0.99,0.97,485,11,4,0,0.9918200408997955,0.9778225806451613,0.9847715736040609
57,20,0.996,0.984,492,6,2,0,0.9959514170040485,0.9879518072289156,0.9919354838709677
58,20,0.996,0.99,495,3,2,0,0.9959758551307847,0.9939759036144579,0.9949748743718593
59,20,1.0,0.986,493,7,0,0,1.0,0.986,0.9929506545820745
60,20,0.998,0.984,492,7,1,0,0.9979716024340771,0.9859719438877755,0.9919354838709677
61,20,0.99,0.984,492,6,2,0,0.9959514170040485,0.9879518072289156,0.9919354838709677
62,20,0.996,0.996,498,0,2,0,0.996,1.0,0.9979959919839679
63,20,1.0,0.966,483,17,0,0,1.0,0.966,0.982706002034588
64,20,0.998,0.992,496,3,1,0,0.9979879275653923,0.9939879759519038,0.995983935742972
